2021-01-16 11:58:27 status half-installed libpam-modules-bin:amd64 1.3.1-5
2021-01-16 11:58:27 status unpacked libpam-modules-bin:amd64 1.3.1-5
2021-01-16 11:58:27 install libpam-runtime:all <none> 1.3.1-5
2021-01-16 11:58:27 status half-installed libpam-runtime:all 1.3.1-5
2021-01-16 11:58:27 status unpacked libpam-runtime:all 1.3.1-5
2021-01-16 11:58:27 install libpam0g:amd64 <none> 1.3.1-5
2021-01-16 11:58:27 status half-installed libpam0g:amd64 1.3.1-5
2021-01-16 11:58:27 status unpacked libpam0g:amd64 1.3.1-5
2021-01-16 11:58:27 install libpcre3:amd64 <none> 2:8.39-12
2021-01-16 11:58:27 status half-installed libpcre3:amd64 2:8.39-12
2021-01-16 11:58:27 status unpacked libpcre3:amd64 2:8.39-12
2021-01-16 11:58:27 upgrade perl-base:amd64 5.28.1-6+deb10u1 5.28.1-6+deb10u1
2021-01-16 11:58:27 status half-configured perl-base:amd64 5.28.1-6+deb10u1
2021-01-16 11:58:27 status unpacked perl-base:amd64 5.28.1-6+deb10u1
2021-01-16 11:58:27 status half-installed perl-base:amd64 5.28.1-6+deb10u1
2021-01-16 11:58:27 status unpacked perl-base:amd64 5.28.1-6+deb10u1
2021-01-16 11:58:27 install sed:amd64 <none> 4.7-1
2021-01-16 11:58:27 status half-installed sed:amd64 4.7-1
2021-01-16 11:58:27 status unpacked sed:amd64 4.7-1
2021-01-16 11:58:27 install login:amd64 <none> 1:4.5-1.1
2021-01-16 11:58:27 status half-installed login:amd64 1:4.5-1.1
2021-01-16 11:58:27 status unpacked login:amd64 1:4.5-1.1
2021-01-16 11:58:27 install passwd:amd64 <none> 1:4.5-1.1
2021-01-16 11:58:27 status half-installed passwd:amd64 1:4.5-1.1
2021-01-16 11:58:27 status unpacked passwd:amd64 1:4.5-1.1
2021-01-16 11:58:27 install libsystemd0:amd64 <none> 241-7~deb10u5
2021-01-16 11:58:27 status half-installed libsystemd0:amd64 241-7~deb10u5
2021-01-16 11:58:27 status unpacked libsystemd0:amd64 241-7~deb10u5
2021-01-16 11:58:27 install libudev1:amd64 <none> 241-7~deb10u5
2021-01-16 11:58:27 status half-installed libudev1:amd64 241-7~deb10u5
2021-01-16 11:58:28 status unpacked libudev1:amd64 241-7~deb10u5
2021-01-16 11:58:28 install sysvinit-utils:amd64 <none> 2.93-8
2021-01-16 11:58:28 status half-installed sysvinit-utils:amd64 2.93-8
2021-01-16 11:58:28 status unpacked sysvinit-utils:amd64 2.93-8
2021-01-16 11:58:28 install tar:amd64 <none> 1.30+dfsg-6
2021-01-16 11:58:28 status half-installed tar:amd64 1.30+dfsg-6
2021-01-16 11:58:28 status unpacked tar:amd64 1.30+dfsg-6
2021-01-16 11:58:28 install tzdata:all <none> 2020d-0+deb10u1
2021-01-16 11:58:28 status half-installed tzdata:all 2020d-0+deb10u1
2021-01-16 11:58:28 status unpacked tzdata:all 2020d-0+deb10u1
2021-01-16 11:58:28 install bsdutils:amd64 <none> 1:2.33.1-0.1
2021-01-16 11:58:28 status half-installed bsdutils:amd64 1:2.33.1-0.1
2021-01-16 11:58:28 status unpacked bsdutils:amd64 1:2.33.1-0.1
2021-01-16 11:58:28 install fdisk:amd64 <none> 2.33.1-0.1
2021-01-16 11:58:28 status half-installed fdisk:amd64 2.33.1-0.1
2021-01-16 11:58:28 status unpacked fdisk:amd64 2.33.1-0.1
2021-01-16 11:58:28 install libblkid1:amd64 <none> 2.33.1-0.1
2021-01-16 11:58:28 status half-installed libblkid1:amd64 2.33.1-0.1
2021-01-16 11:58:28 status unpacked libblkid1:amd64 2.33.1-0.1
2021-01-16 11:58:28 install libfdisk1:amd64 <none> 2.33.1-0.1
2021-01-16 11:58:28 status half-installed libfdisk1:amd64 2.33.1-0.1
2021-01-16 11:58:28 status unpacked libfdisk1:amd64 2.33.1-0.1
2021-01-16 11:58:28 install libmount1:amd64 <none> 2.33.1-0.1
2021-01-16 11:58:28 status half-installed libmount1:amd64 2.33.1-0.1
2021-01-16 11:58:28 status unpacked libmount1:amd64 2.33.1-0.1
2021-01-16 11:58:28 install libsmartcols1:amd64 <none> 2.33.1-0.1
2021-01-16 11:58:28 status half-installed libsmartcols1:amd64 2.33.1-0.1
2021-01-16 11:58:28 status unpacked libsmartcols1:amd64 2.33.1-0.1
2021-01-16 11:58:28 install libuuid1:amd64 <none> 2.33.1-0.1
2021-01-16 11:58:28 status half-installed libuuid1:amd64 2.33.1-0.1
2021-01-16 11:58:28 status unpacked libuuid1:amd64 2.33.1-0.1
2021-01-16 11:58:28 install mount:amd64 <none> 2.33.1-0.1
2021-01-16 11:58:28 status half-installed mount:amd64 2.33.1-0.1
2021-01-16 11:58:28 status unpacked mount:amd64 2.33.1-0.1
2021-01-16 11:58:28 install util-linux:amd64 <none> 2.33.1-0.1
2021-01-16 11:58:28 status half-installed util-linux:amd64 2.33.1-0.1
2021-01-16 11:58:28 status unpacked util-linux:amd64 2.33.1-0.1
2021-01-16 11:58:28 install liblzma5:amd64 <none> 5.2.4-1
2021-01-16 11:58:28 status half-installed liblzma5:amd64 5.2.4-1
2021-01-16 11:58:29 status unpacked liblzma5:amd64 5.2.4-1
2021-01-16 11:58:29 install zlib1g:amd64 <none> 1:1.2.11.dfsg-1
2021-01-16 11:58:29 status half-installed zlib1g:amd64 1:1.2.11.dfsg-1
2021-01-16 11:58:29 status unpacked zlib1g:amd64 1:1.2.11.dfsg-1
2021-01-16 11:58:29 startup packages configure
2021-01-16 11:58:29 configure debian-archive-keyring:all 2019.1 <none>
2021-01-16 11:58:29 status unpacked debian-archive-keyring:all 2019.1
2021-01-16 11:58:29 status half-configured debian-archive-keyring:all 2019.1
2021-01-16 11:58:29 status installed debian-archive-keyring:all 2019.1
2021-01-16 11:58:29 configure libaudit-common:all 1:2.8.4-3 <none>
2021-01-16 11:58:29 status unpacked libaudit-common:all 1:2.8.4-3
2021-01-16 11:58:29 status half-configured libaudit-common:all 1:2.8.4-3
2021-01-16 11:58:29 status installed libaudit-common:all 1:2.8.4-3
2021-01-16 11:58:29 configure libsemanage-common:all 2.8-2 <none>
2021-01-16 11:58:29 status unpacked libsemanage-common:all 2.8-2
2021-01-16 11:58:29 status half-configured libsemanage-common:all 2.8-2
2021-01-16 11:58:29 status installed libsemanage-common:all 2.8-2
2021-01-16 11:58:29 configure ncurses-base:all 6.1+20181013-2+deb10u2 <none>
2021-01-16 11:58:29 status unpacked ncurses-base:all 6.1+20181013-2+deb10u2
2021-01-16 11:58:29 status half-configured ncurses-base:all 6.1+20181013-2+deb10u2
2021-01-16 11:58:29 status installed ncurses-base:all 6.1+20181013-2+deb10u2
2021-01-16 11:58:29 configure gcc-8-base:amd64 8.3.0-6 <none>
2021-01-16 11:58:29 status unpacked gcc-8-base:amd64 8.3.0-6
2021-01-16 11:58:29 status half-configured gcc-8-base:amd64 8.3.0-6
2021-01-16 11:58:29 status installed gcc-8-base:amd64 8.3.0-6
2021-01-16 11:58:29 configure libc6:amd64 2.28-10 <none>
2021-01-16 11:58:29 status unpacked libc6:amd64 2.28-10
2021-01-16 11:58:29 status half-configured libc6:amd64 2.28-10
2021-01-16 11:58:29 status installed libc6:amd64 2.28-10
2021-01-16 11:58:29 configure libudev1:amd64 241-7~deb10u5 <none>
2021-01-16 11:58:29 status unpacked libudev1:amd64 241-7~deb10u5
2021-01-16 11:58:29 status half-configured libudev1:amd64 241-7~deb10u5
2021-01-16 11:58:29 status installed libudev1:amd64 241-7~deb10u5
2021-01-16 11:58:29 configure libsepol1:amd64 2.8-1 <none>
2021-01-16 11:58:29 status unpacked libsepol1:amd64 2.8-1
2021-01-16 11:58:29 status half-configured libsepol1:amd64 2.8-1
2021-01-16 11:58:29 status installed libsepol1:amd64 2.8-1
2021-01-16 11:58:29 configure libattr1:amd64 1:2.4.48-4 <none>
2021-01-16 11:58:29 status unpacked libattr1:amd64 1:2.4.48-4
2021-01-16 11:58:29 status half-configured libattr1:amd64 1:2.4.48-4
2021-01-16 11:58:29 status installed libattr1:amd64 1:2.4.48-4
2021-01-16 11:58:29 configure libtasn1-6:amd64 4.13-3 <none>
2021-01-16 11:58:29 status unpacked libtasn1-6:amd64 4.13-3
2021-01-16 11:58:29 status half-configured libtasn1-6:amd64 4.13-3
2021-01-16 11:58:29 status installed libtasn1-6:amd64 4.13-3
2021-01-16 11:58:29 configure debianutils:amd64 4.8.6.1 <none>
2021-01-16 11:58:29 status unpacked debianutils:amd64 4.8.6.1
2021-01-16 11:58:29 status half-configured debianutils:amd64 4.8.6.1
2021-01-16 11:58:29 status installed debianutils:amd64 4.8.6.1
2021-01-16 11:58:29 configure mawk:amd64 1.3.3-17+b3 <none>
2021-01-16 11:58:29 status unpacked mawk:amd64 1.3.3-17+b3
2021-01-16 11:58:29 status half-configured mawk:amd64 1.3.3-17+b3
2021-01-16 11:58:29 status installed mawk:amd64 1.3.3-17+b3
